	IndexID	FullID	Brain.code	Region	Period	Hemisphere	RIN	MonthsAge	Age	Age.1	Dissection.score	Exon.Array.CEL.files	Age.range	Description	Region.Area	mirVana.tRNA.prepped	mirVana.RIN	mirVana.rRNA.ratio	mirVana.conc..ng.ul.	good.to.go.	small.RNA.library.prepped	RNA.seq.as.of.June.2011	Exon.Array.as.of.June.2011
HSB154.VFC	299	HSB154.VFC	HSB154	VFC	5	R	10	4	16	16PCW	5	154.VFC.R.CEL	16_ Age <19 PCW	Early mid-fetal	VFC			NA	NA		NA	Done	Done
HSB154.MFC	300	HSB154.MFC	HSB154	MFC	5	R	9.5	4	16	16PCW	5	154.MFC.R.CEL	16_ Age <19 PCW	Early mid-fetal	MFC			NA	NA		NA	Done	Done
HSB154.OFC	301	HSB154.OFC	HSB154	OFC	5	R	9.6	4	16	16PCW	5	154.OFC.R.CEL	16_ Age <19 PCW	Early mid-fetal	OFC			NA	NA		NA	Done	Done
HSB154.MSC	302	HSB154.MSC	HSB154	MSC	5	R	10	4	16	16PCW	5	154.M1C/S1C.R.CEL	16_ Age <19 PCW	Early mid-fetal	M1C/S1C			NA	NA		NA	Done	Done
HSB154.IPC	303	HSB154.IPC	HSB154	IPC	5	R	10	4	16	16PCW	5	154.IPC.R.CEL	16_ Age <19 PCW	Early mid-fetal	IPC			NA	NA		NA	Done	Done
HSB154.A1C	304	HSB154.A1C	HSB154	A1C	5	R	9.9	4	16	16PCW	5	154.A1C.R.CEL	16_ Age <19 PCW	Early mid-fetal	A1C			NA	NA		NA	Done	Done
HSB154.STC	305	HSB154.STC	HSB154	STC	5	R	9.7	4	16	16PCW	5	154.STC.R.CEL	16_ Age <19 PCW	Early mid-fetal	STC			NA	NA		NA	Done	Done
HSB154.ITC	306	HSB154.ITC	HSB154	ITC	5	R	10	4	16	16PCW	5	154.ITC.R.CEL	16_ Age <19 PCW	Early mid-fetal	ITC			NA	NA		NA	Done	Done
HSB154.V1C	307	HSB154.V1C	HSB154	V1C	5	R	9.8	4	16	16PCW	5	154.V1C.R.CEL	16_ Age <19 PCW	Early mid-fetal	V1C			NA	NA		NA	Done	Done
HSB154.HIP	308	HSB154.HIP	HSB154	HIP	5	R	10	4	16	16PCW	4	154.HIP.R.CEL	16_ Age <19 PCW	Early mid-fetal	HIP			NA	NA		NA	Done	Done
HSB154.AMY	309	HSB154.AMY	HSB154	AMY	5	R	9.8	4	16	16PCW	3	154.AMY.R.CEL	16_ Age <19 PCW	Early mid-fetal	AMY			NA	NA		NA	Done	Done
HSB154.STR	310	HSB154.STR	HSB154	STR	5	R	10	4	16	16PCW	3	154.STR.R.CEL	16_ Age <19 PCW	Early mid-fetal	STR			NA	NA		NA	Done	Done
HSB154.MD	311	HSB154.MD	HSB154	MD	5	R	9.9	4	16	16PCW	4	154.MD.R.CEL	16_ Age <19 PCW	Early mid-fetal	MD			NA	NA		NA	Done	Done
HSB96.CBC	323	HSB96.CBC	HSB96	CBC	5	NA	8.4	4	16	16PCW	4	96.CBC.NA.CEL	16_ Age <19 PCW	Early mid-fetal	CBC			NA	NA		NA	Done	Done
HSB96.DFC	324	HSB96.DFC	HSB96	DFC	5	R	8.8	4	16	16PCW	5	96.DFC.R.CEL	16_ Age <19 PCW	Early mid-fetal	DFC			NA	NA		NA	Done	Done
HSB96.VFC	325	HSB96.VFC	HSB96	VFC	5	R	8.8	4	16	16PCW	5	96.VFC.R.CEL	16_ Age <19 PCW	Early mid-fetal	VFC			NA	NA		NA	Done	Done
HSB96.MFC	326	HSB96.MFC	HSB96	MFC	5	R	8.5	4	16	16PCW	5	96.MFC.R.CEL	16_ Age <19 PCW	Early mid-fetal	MFC			NA	NA		NA	Done	Done
HSB96.M1CS1C	327	HSB96.M1CS1C	HSB96	M1CS1C	5	R	8.4	4	16	16PCW	5	96.M1C/S1C.R.CEL	16_ Age <19 PCW	Early mid-fetal	M1C/S1C			NA	NA		NA	Done	Done
HSB96.IPC	328	HSB96.IPC	HSB96	IPC	5	R	9	4	16	16PCW	5	96.IPC.R.CEL	16_ Age <19 PCW	Early mid-fetal	IPC			NA	NA		NA	Done	Done
HSB96.A1C	329	HSB96.A1C	HSB96	A1C	5	R	9.2	4	16	16PCW	5	96.A1C.R.CEL	16_ Age <19 PCW	Early mid-fetal	A1C			NA	NA		NA	Done	Done
HSB96.STC	330	HSB96.STC	HSB96	STC	5	R	9.7	4	16	16PCW	5	96.STC.R.CEL	16_ Age <19 PCW	Early mid-fetal	STC			NA	NA		NA	Done	Done
HSB96.V1C	331	HSB96.V1C	HSB96	V1C	5	R	9.2	4	16	16PCW	5	96.V1C.R.CEL	16_ Age <19 PCW	Early mid-fetal	V1C			NA	NA		NA	Done	Done
HSB96.HIP	332	HSB96.HIP	HSB96	HIP	5	R	8.4	4	16	16PCW	5	96.HIP.R.CEL	16_ Age <19 PCW	Early mid-fetal	HIP			NA	NA		NA	Done	Done
HSB96.STR	333	HSB96.STR	HSB96	STR	5	R	9.7	4	16	16PCW	5	96.STR.R.CEL	16_ Age <19 PCW	Early mid-fetal	STR			NA	NA		NA	Done	Done
HSB96.MD	334	HSB96.MD	HSB96	MD	5	R	7.8	4	16	16PCW	5	96.MD.R.CEL	16_ Age <19 PCW	Early mid-fetal	MD			NA	NA		NA	Done	Done
HSB97.DFC	335	HSB97.DFC	HSB97	DFC	5	L	8.9	4.25	17	17PCW	5	97.DFC.L.CEL	16_ Age <19 PCW	Early mid-fetal	DFC			NA	NA		NA	Done	Done
HSB97.VFC	336	HSB97.VFC	HSB97	VFC	5	L	8.5	4.25	17	17PCW	5	97.VFC.L.CEL	16_ Age <19 PCW	Early mid-fetal	VFC			NA	NA		NA	Done	Done
HSB97.MFC	337	HSB97.MFC	HSB97	MFC	5	L	9.3	4.25	17	17PCW	5	97.MFC.L.CEL	16_ Age <19 PCW	Early mid-fetal	MFC			NA	NA		NA	Done	Done
HSB97.OFC	338	HSB97.OFC	HSB97	OFC	5	L	9.5	4.25	17	17PCW	5	97.OFC.L.CEL	16_ Age <19 PCW	Early mid-fetal	OFC			NA	NA		NA	Done	Done
HSB97.MSC	339	HSB97.MSC	HSB97	MSC	5	L	8.6	4.25	17	17PCW	5	97.M1C/S1C.L.CEL	16_ Age <19 PCW	Early mid-fetal	M1C/S1C			NA	NA		NA	Done	Done
HSB97.IPC	340	HSB97.IPC	HSB97	IPC	5	L	9.3	4.25	17	17PCW	5	97.IPC.L.CEL	16_ Age <19 PCW	Early mid-fetal	IPC			NA	NA		NA	Done	Done
HSB97.A1C	341	HSB97.A1C	HSB97	A1C	5	L	9.3	4.25	17	17PCW	5	97.A1C.L.CEL	16_ Age <19 PCW	Early mid-fetal	A1C			NA	NA		NA	Done	Done
HSB97.STC	342	HSB97.STC	HSB97	STC	5	L	9.6	4.25	17	17PCW	5	97.STC.L.CEL	16_ Age <19 PCW	Early mid-fetal	STC			NA	NA		NA	Done	Done
HSB97.V1C	343	HSB97.V1C	HSB97	V1C	5	L	9.3	4.25	17	17PCW	5	97.V1C.L.CEL	16_ Age <19 PCW	Early mid-fetal	V1C			NA	NA		NA	Done	Done
HSB97.HIP	344	HSB97.HIP	HSB97	HIP	5	L	8.7	4.25	17	17PCW	5	97.HIP.L.CEL	16_ Age <19 PCW	Early mid-fetal	HIP			NA	NA		NA	Done	Done
HSB97.AMY	345	HSB97.AMY	HSB97	AMY	5	L	9.1	4.25	17	17PCW	5	97.AMY.L.CEL	16_ Age <19 PCW	Early mid-fetal	AMY			NA	NA		NA	Done	Done
HSB97.STR	346	HSB97.STR	HSB97	STR	5	L	9.1	4.25	17	17PCW	5	97.STR.L.CEL	16_ Age <19 PCW	Early mid-fetal	STR			NA	NA		NA	Done	Done
HSB97.MD	347	HSB97.MD	HSB97	MD	5	L	7.8	4.25	17	17PCW	5	97.MD.L.CEL	16_ Age <19 PCW	Early mid-fetal	MD			NA	NA		NA	Done	Done
HSB97.CBC	348	HSB97.CBC	HSB97	CBC	5	L	9.6	4.25	17	17PCW	5	97.CBC.L.CEL	16_ Age <19 PCW	Early mid-fetal	CBC			NA	NA		NA	Done	Done
HSB98.CBC	406	HSB98.CBC	HSB98	CBC	6	NA	8.4	4.75	19	19PCW	4	98.CBC.NA.CEL	19_ Age <24 PCW	Late mid-fetal	CBC			NA	NA		NA	Done	Done
HSB98.DFC	407	HSB98.DFC	HSB98	DFC	6	R	8.8	4.75	19	19PCW	5	98.DFC.R.CEL	19_ Age <24 PCW	Late mid-fetal	DFC			NA	NA		NA	Done	Done
HSB98.VFC	408	HSB98.VFC	HSB98	VFC	6	R	8.8	4.75	19	19PCW	5	98.VFC.R.CEL	19_ Age <24 PCW	Late mid-fetal	VFC			NA	NA		NA	Done	Done
HSB98.MFC	409	HSB98.MFC	HSB98	MFC	6	R	8.5	4.75	19	19PCW	5	98.MFC.R.CEL	19_ Age <24 PCW	Late mid-fetal	MFC			NA	NA		NA	Done	Done
HSB98.MSC	410	HSB98.MSC	HSB98	MSC	6	R	8.4	4.75	19	19PCW	5	98.M1C/S1C.R.CEL	19_ Age <24 PCW	Late mid-fetal	M1C/S1C			NA	NA		NA	Done	Done
HSB98.IPC	411	HSB98.IPC	HSB98	IPC	6	R	9	4.75	19	19PCW	5	98.IPC.R.CEL	19_ Age <24 PCW	Late mid-fetal	IPC			NA	NA		NA	Done	Done
HSB98.A1C	412	HSB98.A1C	HSB98	A1C	6	R	8.9	4.75	19	19PCW	5	98.A1C.R.CEL	19_ Age <24 PCW	Late mid-fetal	A1C			NA	NA		NA	Done	Done
HSB98.STC	413	HSB98.STC	HSB98	STC	6	R	8.5	4.75	19	19PCW	5	98.STC.R.CEL	19_ Age <24 PCW	Late mid-fetal	STC			NA	NA		NA	Done	Done
HSB98.V1C	414	HSB98.V1C	HSB98	V1C	6	R	9.2	4.75	19	19PCW	5	98.V1C.R.CEL	19_ Age <24 PCW	Late mid-fetal	V1C			NA	NA		NA	Done	Done
HSB98.HIP	415	HSB98.HIP	HSB98	HIP	6	R	8.5	4.75	19	19PCW	5	98.HIP.R.CEL	19_ Age <24 PCW	Late mid-fetal	HIP			NA	NA		NA	Done	Done
HSB98.STR	416	HSB98.STR	HSB98	STR	6	R	9.7	4.75	19	19PCW	5	98.STR.R.CEL	19_ Age <24 PCW	Late mid-fetal	STR			NA	NA		NA	Done	Done
HSB98.MD	417	HSB98.MD	HSB98	MD	6	R	7.8	4.75	19	19PCW	5	98.MD.R.CEL	19_ Age <24 PCW	Late mid-fetal	MD			NA	NA		NA	Done	Done
HSB107.DFC	418	HSB107.DFC	HSB107	DFC	6	L	9.6	5.25	21	21PCW	5	107.DFC.L.CEL	19_ Age <24 PCW	Late mid-fetal	DFC			NA	NA		NA	Done	Done
HSB107.VFC	419	HSB107.VFC	HSB107	VFC	6	L	9.7	5.25	21	21PCW	5	107.VFC.L.CEL	19_ Age <24 PCW	Late mid-fetal	VFC			NA	NA		NA	Done	Done
HSB107.MFC	420	HSB107.MFC	HSB107	MFC	6	L	9.1	5.25	21	21PCW	5	107.MFC.L.CEL	19_ Age <24 PCW	Late mid-fetal	MFC			NA	NA		NA	Done	Done
HSB107.OFC	421	HSB107.OFC	HSB107	OFC	6	L	9.6	5.25	21	21PCW	5	107.OFC.L.CEL	19_ Age <24 PCW	Late mid-fetal	OFC			NA	NA		NA	Done	Done
HSB107.M1C	422	HSB107.M1C	HSB107	M1C	6	L	9.4	5.25	21	21PCW	5	107.M1C.L.CEL	19_ Age <24 PCW	Late mid-fetal	M1C			NA	NA		NA	Done	Done
HSB107.S1C	423	HSB107.S1C	HSB107	S1C	6	L	8.8	5.25	21	21PCW	5	107.S1C.L.CEL	19_ Age <24 PCW	Late mid-fetal	S1C			NA	NA		NA	Done	Done
HSB107.IPC	424	HSB107.IPC	HSB107	IPC	6	L	8.1	5.25	21	21PCW	5	107.IPC.L.CEL	19_ Age <24 PCW	Late mid-fetal	IPC			NA	NA		NA	Done	Done
HSB107.A1C	425	HSB107.A1C	HSB107	A1C	6	L	8.6	5.25	21	21PCW	5	107.A1C.L.CEL	19_ Age <24 PCW	Late mid-fetal	A1C			NA	NA		NA	Done	Done
HSB107.STC	426	HSB107.STC	HSB107	STC	6	L	9.2	5.25	21	21PCW	5	107.STC.L.CEL	19_ Age <24 PCW	Late mid-fetal	STC			NA	NA		NA	Done	Done
HSB107.ITC	427	HSB107.ITC	HSB107	ITC	6	L	8.7	5.25	21	21PCW	5	107.ITC.L.CEL	19_ Age <24 PCW	Late mid-fetal	ITC			NA	NA		NA	Done	Done
HSB107.V1C	428	HSB107.V1C	HSB107	V1C	6	L	9.2	5.25	21	21PCW	5	107.V1C.L.CEL	19_ Age <24 PCW	Late mid-fetal	V1C			NA	NA		NA	Done	Done
HSB107.HIP	429	HSB107.HIP	HSB107	HIP	6	L	8.9	5.25	21	21PCW	5	107.HIP.L.CEL	19_ Age <24 PCW	Late mid-fetal	HIP			NA	NA		NA	Done	Done
HSB107.AMY	430	HSB107.AMY	HSB107	AMY	6	L	8.6	5.25	21	21PCW	5	107.AMY.L.CEL	19_ Age <24 PCW	Late mid-fetal	AMY			NA	NA		NA	Done	Done
HSB107.STR	431	HSB107.STR	HSB107	STR	6	L	8.9	5.25	21	21PCW	5	107.STR.L.CEL	19_ Age <24 PCW	Late mid-fetal	STR			NA	NA		NA	Done	Done
HSB107.MD	432	HSB107.MD	HSB107	MD	6	L	8.6	5.25	21	21PCW	5	107.MD.L.CEL	19_ Age <24 PCW	Late mid-fetal	MD			NA	NA		NA	Done	Done
HSB107.CBC	433	HSB107.CBC	HSB107	CBC	6	L	8.2	5.25	21	21PCW	5	107.CBC.L.CEL	19_ Age <24 PCW	Late mid-fetal	CBC			NA	NA		NA	Done	Done
HSB92.DFC	450	HSB92.DFC	HSB92	DFC	6	R	9.2	5.25	21	21PCW	5	92.DFC.R.CEL	19_ Age <24 PCW	Late mid-fetal	DFC			NA	NA		NA	Done	Done
HSB92.VFC	451	HSB92.VFC	HSB92	VFC	6	R	9.5	5.25	21	21PCW	5	92.VFC.R.CEL	19_ Age <24 PCW	Late mid-fetal	VFC			NA	NA		NA	Done	Done
HSB92.MFC	452	HSB92.MFC	HSB92	MFC	6	R	9.9	5.25	21	21PCW	5	92.MFC.R.CEL	19_ Age <24 PCW	Late mid-fetal	MFC			NA	NA		NA	Done	Done
HSB92.OFC	453	HSB92.OFC	HSB92	OFC	6	R	9.1	5.25	21	21PCW	5	92.OFC.R.CEL	19_ Age <24 PCW	Late mid-fetal	OFC			NA	NA		NA	Done	Done
HSB92.M1C	454	HSB92.M1C	HSB92	M1C	6	R	9.1	5.25	21	21PCW	4	92.M1C.R.CEL	19_ Age <24 PCW	Late mid-fetal	M1C			NA	NA		NA	Done	Done
HSB92.S1C	455	HSB92.S1C	HSB92	S1C	6	R	9.7	5.25	21	21PCW	4	92.S1C.R.CEL	19_ Age <24 PCW	Late mid-fetal	S1C			NA	NA		NA	Done	Done
HSB92.IPC	456	HSB92.IPC	HSB92	IPC	6	R	8	5.25	21	21PCW	5	92.IPC.R.CEL	19_ Age <24 PCW	Late mid-fetal	IPC			NA	NA		NA	Done	Done
HSB92.A1C	457	HSB92.A1C	HSB92	A1C	6	R	9.1	5.25	21	21PCW	4	92.A1C.R.CEL	19_ Age <24 PCW	Late mid-fetal	A1C			NA	NA		NA	Done	Done
HSB92.STC	458	HSB92.STC	HSB92	STC	6	R	8.7	5.25	21	21PCW	5	92.STC.R.CEL	19_ Age <24 PCW	Late mid-fetal	STC			NA	NA		NA	Done	Done
HSB92.ITC	459	HSB92.ITC	HSB92	ITC	6	R	9.5	5.25	21	21PCW	4	92.ITC.R.CEL	19_ Age <24 PCW	Late mid-fetal	ITC			NA	NA		NA	Done	Done
HSB92.V1C	460	HSB92.V1C	HSB92	V1C	6	R	9.3	5.25	21	21PCW	5	92.V1C.R.CEL	19_ Age <24 PCW	Late mid-fetal	V1C			NA	NA		NA	Done	Done
HSB92.HIP	461	HSB92.HIP	HSB92	HIP	6	R	9.7	5.25	21	21PCW	4	92.HIP.R.CEL	19_ Age <24 PCW	Late mid-fetal	HIP			NA	NA		NA	Done	Done
HSB92.AMY	462	HSB92.AMY	HSB92	AMY	6	R	9.2	5.25	21	21PCW	4	92.AMY.R.CEL	19_ Age <24 PCW	Late mid-fetal	AMY			NA	NA		NA	Done	Done
HSB92.STR	463	HSB92.STR	HSB92	STR	6	R	10	5.25	21	21PCW	4	92.STR.R.CEL	19_ Age <24 PCW	Late mid-fetal	STR			NA	NA		NA	Done	Done
HSB92.MD	464	HSB92.MD	HSB92	MD	6	R	9.4	5.25	21	21PCW	4	92.MD.R.CEL	19_ Age <24 PCW	Late mid-fetal	MD			NA	NA		NA	Done	Done
HSB92.CBC	465	HSB92.CBC	HSB92	CBC	6	R	9.4	5.25	21	21PCW	4	92.CBC.R.CEL	19_ Age <24 PCW	Late mid-fetal	CBC			NA	NA		NA	Done	Done
HSB159.DFC	521	HSB159.DFC	HSB159	DFC	6	L	10	5.5	22	22PCW	5	159.DFC.L.CEL	19_ Age <24 PCW	Late mid-fetal	DFC			NA	NA		NA	Done	Done
HSB159.VFC	522	HSB159.VFC	HSB159	VFC	6	L	10	5.5	22	22PCW	5	159.VFC.L.CEL	19_ Age <24 PCW	Late mid-fetal	VFC			NA	NA		NA	Done	Done
HSB159.MFC	523	HSB159.MFC	HSB159	MFC	6	L	10	5.5	22	22PCW	5	159.MFC.L.CEL	19_ Age <24 PCW	Late mid-fetal	MFC			NA	NA		NA	Done	Done
HSB159.OFC	524	HSB159.OFC	HSB159	OFC	6	L	10	5.5	22	22PCW	5	159.OFC.L.CEL	19_ Age <24 PCW	Late mid-fetal	OFC			NA	NA		NA	Done	Done
HSB159.M1C	525	HSB159.M1C	HSB159	M1C	6	L	10	5.5	22	22PCW	5	159.M1C.L.CEL	19_ Age <24 PCW	Late mid-fetal	M1C			NA	NA		NA	Done	Done
HSB159.S1C	526	HSB159.S1C	HSB159	S1C	6	L	10	5.5	22	22PCW	5	159.S1C.L.CEL	19_ Age <24 PCW	Late mid-fetal	S1C			NA	NA		NA	Done	Done
HSB159.IPC	527	HSB159.IPC	HSB159	IPC	6	L	10	5.5	22	22PCW	5	159.IPC.L.CEL	19_ Age <24 PCW	Late mid-fetal	IPC			NA	NA		NA	Done	Done
HSB159.A1C	528	HSB159.A1C	HSB159	A1C	6	L	10	5.5	22	22PCW	5	159.A1C.L.CEL	19_ Age <24 PCW	Late mid-fetal	A1C			NA	NA		NA	Done	Done
HSB159.STC	529	HSB159.STC	HSB159	STC	6	L	9.7	5.5	22	22PCW	5	159.STC.L.CEL	19_ Age <24 PCW	Late mid-fetal	STC			NA	NA		NA	Done	Done
HSB159.ITC	530	HSB159.ITC	HSB159	ITC	6	L	9.9	5.5	22	22PCW	5	159.ITC.L.CEL	19_ Age <24 PCW	Late mid-fetal	ITC			NA	NA		NA	Done	Done
HSB159.V1C	531	HSB159.V1C	HSB159	V1C	6	L	10	5.5	22	22PCW	5	159.V1C.L.CEL	19_ Age <24 PCW	Late mid-fetal	V1C			NA	NA		NA	Done	Done
HSB159.HIP	532	HSB159.HIP	HSB159	HIP	6	L	9.9	5.5	22	22PCW	5	159.HIP.L.CEL	19_ Age <24 PCW	Late mid-fetal	HIP			NA	NA		NA	Done	Done
HSB159.AMY	533	HSB159.AMY	HSB159	AMY	6	L	9.9	5.5	22	22PCW	4	159.AMY.L.CEL	19_ Age <24 PCW	Late mid-fetal	AMY			NA	NA		NA	Done	Done
HSB159.STR	534	HSB159.STR	HSB159	STR	6	L	10	5.5	22	22PCW	4	159.STR.L.CEL	19_ Age <24 PCW	Late mid-fetal	STR			NA	NA		NA	Done	Done
HSB159.MD	535	HSB159.MD	HSB159	MD	6	L	9.7	5.5	22	22PCW	4	159.MD.L.CEL	19_ Age <24 PCW	Late mid-fetal	MD			NA	NA		NA	Done	Done
HSB159.CBC	536	HSB159.CBC	HSB159	CBC	6	L	10	5.5	22	22PCW	5	159.CBC.L.CEL	19_ Age <24 PCW	Late mid-fetal	CBC			NA	NA		NA	Done	Done
HSB169.A1C	553	HSB169.A1C	HSB169	A1C	7	L	9.3	6.25	25	25PCW	5	169.A1C.CEL	24_ Age <38 PCW	Late fetal	A1C			NA	NA		NA	Done	Done
HSB169.STC	554	HSB169.STC	HSB169	STC	7	L	10	6.25	25	25PCW	5	169.STC.CEL	24_ Age <38 PCW	Late fetal	STC			NA	NA		NA	Done	Done
HSB168.DFC	555	HSB168.DFC	HSB168	DFC	7	L	9.2	6.5	26	26PCW	5	168.DFC.CEL	24_ Age <38 PCW	Late fetal	DFC			NA	NA		NA	Done	Done
HSB168.STC	556	HSB168.STC	HSB168	STC	7	L	9.3	6.5	26	26PCW	4	168.STC.CEL	24_ Age <38 PCW	Late fetal	STC			NA	NA		NA	Done	Done
HSB168.V1C	557	HSB168.V1C	HSB168	V1C	7	L	9.6	6.5	26	26PCW	5	168.V1C.CEL	24_ Age <38 PCW	Late fetal	V1C			NA	NA		NA	Done	Done
HSB168.AMY	558	HSB168.AMY	HSB168	AMY	7	L	8.6	6.5	26	26PCW	4	168.AMY.CEL	24_ Age <38 PCW	Late fetal	AMY			NA	NA		NA	Done	Done
HSB168.CBC	559	HSB168.CBC	HSB168	CBC	7	L	9.5	6.5	26	26PCW	5	168.CBC.CEL	24_ Age <38 PCW	Late fetal	CBC			NA	NA		NA	Done	Done
HSB132.DFC	624	HSB132.DFC	HSB132	DFC	8	L	7.6	13	4M	4M	5	132.DFC.L.CEL	Birth_ Age <6 Postnatal months (M)	Neonatal and early infancy	DFC	Done	N/A 	1.48	86.6	ok	NA	Done	Done
HSB132.VFC	625	HSB132.VFC	HSB132	VFC	8	L	9.7	13	4M	4M	5	132.VFC.L.CEL	Birth_ Age <6 Postnatal months (M)	Neonatal and early infancy	VFC	Done	9.4	1.63	164.78	ok	NA	Done	Done
HSB132.MFC	626	HSB132.MFC	HSB132	MFC	8	L	7.9	13	4M	4M	5	132.MFC.L.CEL	Birth_ Age <6 Postnatal months (M)	Neonatal and early infancy	MFC	Done	8.1	1	250.72	ok	NA	Done	Done
HSB132.OFC	627	HSB132.OFC	HSB132	OFC	8	L	7.7	13	4M	4M	5	132.OFC.L.CEL	Birth_ Age <6 Postnatal months (M)	Neonatal and early infancy	OFC	Done	7.2	1.34	168.38	ok	NA	Done	Done
HSB132.M1C	628	HSB132.M1C	HSB132	M1C	8	L	8.3	13	4M	4M	5	132.M1C.L.CEL	Birth_ Age <6 Postnatal months (M)	Neonatal and early infancy	M1C	Done	7.8	1.03	188.27	ok	NA	Done	Done
HSB132.S1C	629	HSB132.S1C	HSB132	S1C	8	L	8.7	13	4M	4M	5	132.S1C.L.CEL	Birth_ Age <6 Postnatal months (M)	Neonatal and early infancy	S1C	Done	8.1	1.15	80.4	ok	NA	Done	Done
HSB132.IPC	630	HSB132.IPC	HSB132	IPC	8	L	8.2	13	4M	4M	5	132.IPC.L.CEL	Birth_ Age <6 Postnatal months (M)	Neonatal and early infancy	IPC	Done	7.4	1.15	120.53	ok	NA	Done	Done
HSB132.A1C	631	HSB132.A1C	HSB132	A1C	8	L	7.7	13	4M	4M	5	132.A1C.L.CEL	Birth_ Age <6 Postnatal months (M)	Neonatal and early infancy	A1C	Done	8.5	1.44	88.04	ok	NA	Done	Done
HSB132.STC	632	HSB132.STC	HSB132	STC	8	L	8.2	13	4M	4M	5	132.STC.L.CEL	Birth_ Age <6 Postnatal months (M)	Neonatal and early infancy	STC	Done	8	1.26	93.96	ok	NA	Done	Done
HSB132.ITC	633	HSB132.ITC	HSB132	ITC	8	L	8.7	13	4M	4M	5	132.ITC.L.CEL	Birth_ Age <6 Postnatal months (M)	Neonatal and early infancy	ITC	Done	7.6	1.44	133.23	ok	NA	Done	Done
HSB132.V1C	634	HSB132.V1C	HSB132	V1C	8	L	9.5	13	4M	4M	5	132.V1C.L.CEL	Birth_ Age <6 Postnatal months (M)	Neonatal and early infancy	V1C	Done	8.7	1.43	148.52	ok	NA	Done	Done
HSB132.HIP	635	HSB132.HIP	HSB132	HIP	8	L	8.4	13	4M	4M	5	132.HIP.L.CEL	Birth_ Age <6 Postnatal months (M)	Neonatal and early infancy	HIP	Done	7.5	1.3	134.22	ok	NA	Done	Done
HSB132.AMY	636	HSB132.AMY	HSB132	AMY	8	L	8.5	13	4M	4M	5	132.AMY.L.CEL	Birth_ Age <6 Postnatal months (M)	Neonatal and early infancy	AMY	Done	7.1	1.27	93.21	ok	NA	Done	Done
HSB132.STR	637	HSB132.STR	HSB132	STR	8	L	9.7	13	4M	4M	5	132.STR.L.CEL	Birth_ Age <6 Postnatal months (M)	Neonatal and early infancy	STR	Done	8.9	1.22	54.15	ok	NA	Done	Done
HSB132.MD	638	HSB132.MD	HSB132	MD	8	L	9.2	13	4M	4M	5	132.MD.L.CEL	Birth_ Age <6 Postnatal months (M)	Neonatal and early infancy	MD	Done	8.3	1.2	159.09	ok	NA	Done	Done
HSB132.CBC	639	HSB132.CBC	HSB132	CBC	8	L	9.2	13	4M	4M	5	132.CBC.L.CEL	Birth_ Age <6 Postnatal months (M)	Neonatal and early infancy	CBC	Done	5.7	0.67	151.82	ok	NA	Done	Done
HSB139.DFC	656	HSB139.DFC	HSB139	DFC	8	L	8.5	13	4M	4M	5	139.DFC.L.CEL	Birth_ Age <6 Postnatal months (M)	Neonatal and early infancy	DFC	To Be Prepped		NA	NA		NA	Done	Done
HSB139.VFC	657	HSB139.VFC	HSB139	VFC	8	L	7.9	13	4M	4M	5	139.VFC.L.CEL	Birth_ Age <6 Postnatal months (M)	Neonatal and early infancy	VFC	To Be Prepped		NA	NA		NA	Done	Done
HSB139.MFC	658	HSB139.MFC	HSB139	MFC	8	L	9.3	13	4M	4M	5	139.MFC.L.CEL	Birth_ Age <6 Postnatal months (M)	Neonatal and early infancy	MFC	To Be Prepped		NA	NA		NA	Done	Done
HSB139.OFC	659	HSB139.OFC	HSB139	OFC	8	L	8.8	13	4M	4M	5	139.OFC.L.CEL	Birth_ Age <6 Postnatal months (M)	Neonatal and early infancy	OFC	To Be Prepped		NA	NA		NA	Done	Done
HSB139.M1C	660	HSB139.M1C	HSB139	M1C	8	L	7.9	13	4M	4M	4	139.M1C.L.CEL	Birth_ Age <6 Postnatal months (M)	Neonatal and early infancy	M1C	To Be Prepped		NA	NA		NA	Done	Done
HSB139.S1C	661	HSB139.S1C	HSB139	S1C	8	L	8.7	13	4M	4M	4	139.S1C.L.CEL	Birth_ Age <6 Postnatal months (M)	Neonatal and early infancy	S1C	To Be Prepped		NA	NA		NA	Done	Done
HSB139.IPC	662	HSB139.IPC	HSB139	IPC	8	L	9.6	13	4M	4M	5	139.IPC.L.CEL	Birth_ Age <6 Postnatal months (M)	Neonatal and early infancy	IPC	To Be Prepped		NA	NA		NA	Done	Done
HSB139.A1C	663	HSB139.A1C	HSB139	A1C	8	L	8.3	13	4M	4M	5	139.A1C.L.CEL	Birth_ Age <6 Postnatal months (M)	Neonatal and early infancy	A1C	To Be Prepped		NA	NA		NA	Done	Done
HSB139.STC	664	HSB139.STC	HSB139	STC	8	L	9	13	4M	4M	5	139.STC.L.CEL	Birth_ Age <6 Postnatal months (M)	Neonatal and early infancy	STC	To Be Prepped		NA	NA		NA	Done	Done
HSB139.ITC	665	HSB139.ITC	HSB139	ITC	8	L	9	13	4M	4M	5	139.ITC.L.CEL	Birth_ Age <6 Postnatal months (M)	Neonatal and early infancy	ITC	To Be Prepped		NA	NA		NA	Done	Done
HSB139.V1C	666	HSB139.V1C	HSB139	V1C	8	L	8.8	13	4M	4M	5	139.V1C.L.CEL	Birth_ Age <6 Postnatal months (M)	Neonatal and early infancy	V1C	To Be Prepped		NA	NA		NA	Done	Done
